"","id_id","litter_dry","plot_indicator","range_class","range_score"
"388","maz_java_GA2",26.177,"A7","Fair",59.6
"389","maz_java_GA2",29.152,"A8","Good",75.3
"390","maz_java_GA2",26.772,"B1","Fair",63.5
"391","maz_java_GA2",40.456,"B2","Good",70
"392","maz_java_GA2",38.076,"B3","Fair",67.8
"393","maz_java_GA2",35.101,"B4","Good",72.9
"394","maz_java_GA2",41.646,"B5","Fair",64.9
"395","maz_java_GA2",29.747,"B6","Fair",66.1
"396","maz_java_GA2",35.101,"B7","Good",73
"397","maz_java_GA2",31.532,"B8","Fair",65.1
"398","maz_java_GA2",28.557,"C1","Fair",64.6
"399","maz_java_GA2",39.861,"C2","Fair",58.9
"400","maz_java_GA2",32.722,"C3","Good",77.6
"401","maz_java_GA2",35.101,"C4","Fair",63.5
"402","maz_java_GA2",37.481,"C5","Good",74.8
"403","maz_java_GA2",35.696,"C6","Good",79.6
"404","maz_java_GA2",35.101,"C7","Fair",62.3
"405","maz_java_GA2",26.177,"C8","Good",76.8
"406","maz_java_GA2",29.747,"D1","Fair",64.3
"407","maz_java_GA2",33.912,"D2","Fair",64.2
"408","maz_java_GA2",27.367,"D3","Good",69.1
"409","maz_java_GA2",40.456,"D4","Good",79.7
"410","maz_java_GA2",36.291,"D5","Good",73.8
"411","maz_java_GA2",38.076,"D6","Fair",64.8
"412","maz_java_GA2",36.291,"D7","Good",72.8
"413","maz_java_GA2",19.038,"D8","Fair",55.8
"414","maz_java_GA2",29.152,"E1","Fair",63.5
"415","maz_java_GA2",26.177,"E2","Fair",51.4
"416","maz_java_GA2",33.317,"E3","Good",76.4
"417","maz_java_GA2",35.101,"E4","Excellent",82
"418","maz_java_GA2",43.431,"E5","Fair",68.2
"419","maz_java_GA2",40.456,"E6","Good",70
"420","maz_java_GA2",35.696,"E7","Good",75.3
"421","maz_java_GA2",18.443,"E8","Fair",65.7
"422","maz_java_GA2",35.101,"F1","Fair",65.8
"423","maz_java_GA2",39.861,"F2","Good",69.4
"424","maz_java_GA2",38.076,"F3","Fair",68.4
"425","maz_java_GA2",39.861,"F4","Good",77.1
"426","maz_java_GA2",46.405,"F5","Fair",65.7
"427","maz_java_GA2",44.026,"F6","Good",71.8
"428","maz_java_GA2",37.481,"F7","Good",74.8
"429","maz_java_GA2",28.557,"F8","Good",76.4
"430","maz_java_GA2",26.772,"G1","Fair",53.7
"431","maz_java_GA2",37.481,"G2","Fair",65.6
"432","maz_java_GA2",34.507,"G3","Fair",64.2
"433","maz_java_GA2",35.696,"G4","Good",70.4
"434","maz_java_GA2",42.241,"G5","Good",70.6
"435","maz_java_GA2",38.076,"G6","Fair",67.3
"436","maz_java_GA2",39.266,"G7","Good",72.3
"437","maz_java_GA2",29.747,"G8","Good",74.1
"438","maz_java_GA2",29.152,"H1","Fair",56.1
"439","maz_java_GA2",41.051,"H2","Good",69.8
"440","maz_java_GA2",47.595,"H3","Good",77.9
"441","maz_java_GA2",36.291,"H4","Fair",63.7
"442","maz_java_GA2",37.481,"H5","Fair",62.5
"443","maz_java_GA2",22.608,"H6","Poor",45.6
"444","maz_java_GA2",32.722,"H7","Good",69.5
"445","maz_po_EA1",200.99,"A1","Excellent",82.8
"446","maz_po_EA1",258.44,"A2","Excellent",87
"447","maz_po_EA1",250.42,"A3","Excellent",83.7
"448","maz_po_EA1",179.79,"A4","Good",78.7
"449","maz_po_EA1",180.81,"A5","Good",77
"450","maz_po_EA1",166.5,"A6","Excellent",80.1
"451","maz_po_EA1",216.5,"A7","Good",78.5
"452","maz_po_EA1",208.78,"A8","Excellent",82.2
"453","maz_po_EA1",181.92,"B1","Good",78.86
"454","maz_po_EA1",277.37,"B2","Excellent",89.83
